,club,home_win,away_win,home_loss,away_loss,matches_won,matches_lost,matches_drawn,total_matches,points,home_goals,away_goals,goals_scored,goals_conceded,goal_difference,season
28,Barcelona,81,65,6,14,146,20,24,190,462,322,231,553,160,393,5
27,Real Madrid,79,61,6,17,140,23,27,190,447,313,228,541,193,348,5
26,Ath Madrid,72,53,9,21,125,30,35,190,410,206,136,342,131,211,5
25,Sevilla,65,25,15,42,90,57,43,190,313,196,122,318,250,68,5
24,Ath Bilbao,53,31,21,42,84,63,43,190,295,163,100,263,233,30,5
22,Valencia,52,26,23,42,78,65,47,190,281,176,114,290,252,38,5
23,Sociedad,47,30,22,39,77,61,52,190,283,160,120,280,256,24,5
21,Villarreal,44,26,17,25,70,42,40,152,250,126,82,208,149,59,5
20,Malaga,44,22,30,46,66,76,48,190,246,141,80,221,234,-13,5
19,Celta,39,28,30,52,67,82,41,190,242,135,102,237,278,-41,5
18,Espanol,38,24,29,51,62,80,48,190,234,121,99,220,278,-58,5
17,Vallecano,33,20,34,41,53,75,24,152,183,110,84,194,287,-93,5
14,Levante,28,13,27,44,41,71,40,152,163,87,59,146,237,-91,5
13,Getafe,27,16,27,49,43,76,33,152,162,84,64,148,242,-94,5
16,Granada,27,17,42,59,44,101,45,190,177,95,79,174,325,-151,5
15,Betis,26,17,29,44,43,73,36,152,165,86,82,168,250,-82,5
11,Eibar,23,12,23,29,35,52,27,114,132,75,64,139,167,-28,5
12,La Coruna,22,9,30,36,31,66,55,152,148,97,73,170,252,-82,5
9,Las Palmas,17,5,10,27,22,37,17,76,83,58,40,98,127,-29,5
10,Osasuna,15,9,25,37,24,62,28,114,100,58,47,105,206,-101,5
7,Valladolid,13,5,10,23,18,33,25,76,79,49,38,87,118,-31,5
8,Elche,12,8,15,20,20,35,21,76,81,32,33,65,112,-47,5
5,Sp Gijon,12,5,18,22,17,40,19,76,70,54,28,82,134,-52,5
6,Almeria,9,10,16,26,19,42,15,76,72,46,32,78,135,-57,5
4,Alaves,7,7,4,7,14,11,13,38,55,19,22,41,43,-2,5
3,Mallorca,7,2,7,13,9,20,9,38,36,26,17,43,72,-29,5
1,Zaragoza,5,4,10,12,9,22,7,38,34,23,14,37,62,-25,5
2,Leganes,5,3,8,11,8,19,11,38,35,22,14,36,55,-19,5
0,Cordoba,1,2,12,12,3,24,11,38,20,12,10,22,68,-46,5
