,HomeTeam,AwayTeam,FTR,pastHS,pastHC,pastAS,pastAC,pastHG,pastAG,HAS,HDS,AAS,ADS,Result,pastCornerDiff,pastGoalDiff,pastShotsDiff
0,Celta,Malaga,A,0.0,0.0,0.0,0.0,0.0,0.0,0.8664495114006514,1.10050022737608,0.9276944065484309,1.009771986970684,-1,0.0,0.0,0.0
1,Mallorca,Espanol,H,0.0,0.0,0.0,0.0,0.0,0.0,0.16938110749185667,0.27285129604365616,0.1546157344247385,0.27361563517915305,1,0.0,0.0,0.0
2,Sevilla,Getafe,H,0.0,0.0,0.0,0.0,0.0,0.0,1.244299674267101,0.8367439745338789,1.1095952705775352,1.029315960912052,1,0.0,0.0,0.0
3,Ath Bilbao,Betis,A,0.0,0.0,0.0,0.0,0.0,0.0,1.0618892508143323,0.9095043201455206,0.9004092769440655,0.8469055374592833,-1,0.0,0.0,0.0
4,Barcelona,Sociedad,H,0.0,0.0,0.0,0.0,0.0,0.0,2.0716612377850163,0.6366530241018644,2.100954979536153,0.5732899022801302,1,0.0,0.0,0.0
5,Levante,Ath Madrid,D,0.0,0.0,0.0,0.0,0.0,0.0,0.5667752442996742,0.8913142337426102,0.5366075488858572,0.9055374592833876,0,0.0,0.0,0.0
6,Real Madrid,Valencia,D,0.0,0.0,0.0,0.0,0.0,0.0,2.039087947882736,0.8094588449295134,2.0554797635288766,0.6775244299674267,0,0.0,0.0,0.0
7,La Coruna,Osasuna,H,0.0,0.0,0.0,0.0,0.0,0.0,0.6123778501628664,1.0277398817644383,0.66393815370623,0.9055374592833876,1,0.0,0.0,0.0
8,Vallecano,Granada,H,0.0,0.0,0.0,0.0,0.0,0.0,0.7166123778501627,1.0914051841746246,0.7639836289222373,1.0879478827361564,1,0.0,0.0,0.0
9,Zaragoza,Valladolid,A,0.0,0.0,0.0,0.0,0.0,0.0,0.14983713355048858,0.24556616643929055,0.12733060482037287,0.2280130293159609,-1,0.0,0.0,0.0
10,Betis,Vallecano,A,5.666666666666667,3.6666666666666665,4.666666666666667,1.0,1.6666666666666667,0.3333333333333333,0.5602605863192182,0.8731241473396998,0.7276034561164164,0.9902280130293158,-1,0.8888888888888888,0.4444444444444445,1.777777777777778
11,Espanol,Zaragoza,A,5.666666666666667,2.3333333333333335,2.3333333333333335,1.3333333333333333,0.3333333333333333,0.0,0.7882736156351792,1.10050022737608,0.882219190541155,1.0162866449511399,-1,0.3333333333333334,0.1111111111111111,1.888888888888889
12,Malaga,Mallorca,D,5.666666666666667,2.6666666666666665,4.333333333333333,2.3333333333333335,0.3333333333333333,0.6666666666666666,0.9185667752442996,0.882219190541155,0.7276034561164164,0.8794788273615635,0,0.11111111111111101,-0.1111111111111111,1.6666666666666667
13,Sociedad,Celta,H,6.0,3.0,5.333333333333333,2.6666666666666665,0.3333333333333333,0.0,1.042345276872964,0.9640745793542518,1.0732150977717143,0.9641693811074917,1,0.11111111111111116,0.1111111111111111,2.0
14,Getafe,Real Madrid,H,5.333333333333333,2.6666666666666665,1.6666666666666667,4.0,0.3333333333333333,0.3333333333333333,0.5472312703583061,0.8094588449295134,0.5820827648931332,0.996742671009772,1,-0.4444444444444445,0.0,1.6666666666666667
